country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"IMD Lodhi Road, Delhi - IITM","24-08-2026 11:00:00",28.5918245,77.2273074,SO2,NA,NA,NA
India,Delhi,Delhi,"Alipur, Delhi - DPCC","24-08-2026 11:00:00",28.815329,77.15301,PM2.5,40,170,82
India,Delhi,Delhi,"Alipur, Delhi - DPCC","24-08-2026 11:00:00",28.815329,77.15301,OZONE,4,8,6
India,Delhi,Delhi,"North Campus, DU, Delhi - IITM","24-08-2026 11:00:00",28.6573814,77.1585447,PM10,69,149,99
India,Delhi,Delhi,"North Campus, DU, Delhi - IITM","24-08-2026 11:00:00",28.6573814,77.1585447,SO2,NA,NA,NA
India,Delhi,Delhi,"North Campus, DU, Delhi - IITM","24-08-2026 11:00:00",28.6573814,77.1585447,CO,49,71,59
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","24-08-2026 11:00:00",28.563262,77.186937,NO2,11,76,40
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro","24-08-2026 11:00:00",22.320153,73.216285,OZONE,2,3,3
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","24-08-2026 11:00:00",20.362421,72.918013,PM10,NA,NA,NA
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","24-08-2026 11:00:00",20.362421,72.918013,NO2,NA,NA,NA
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","24-08-2026 11:00:00",20.362421,72.918013,SO2,NA,NA,NA
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","24-08-2026 11:00:00",20.362421,72.918013,OZONE,9,11,10
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","24-08-2026 11:00:00",30.379589,76.778328,OZONE,23,33,27
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","24-08-2026 11:00:00",28.6701,76.9254,PM2.5,37,106,65
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","24-08-2026 11:00:00",28.6701,76.9254,NO2,27,32,29
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","24-08-2026 11:00:00",28.6701,76.9254,NH3,7,9,8
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","24-08-2026 11:00:00",28.3419248,77.319699,SO2,1,4,2
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB","24-08-2026 11:00:00",29.14056,75.744941,OZONE,69,70,70
India,Haryana,Jind,"Police Lines, Jind - HSPCB","24-08-2026 11:00:00",29.307814,76.337619,PM10,60,82,69
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","24-08-2026 11:00:00",29.6953,77.0027,PM2.5,17,412,74
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","24-08-2026 11:00:00",29.6953,77.0027,NO2,9,21,15
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","24-08-2026 11:00:00",29.6953,77.0027,SO2,12,13,12
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","24-08-2026 11:00:00",29.966942,76.875879,CO,13,27,21
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","24-08-2026 11:00:00",29.966942,76.875879,OZONE,3,22,10
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB","24-08-2026 11:00:00",27.9002,76.9938,PM2.5,16,18,17
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB","24-08-2026 11:00:00",27.9002,76.9938,NH3,7,9,8
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","24-08-2026 11:00:00",28.806223,76.141105,NO2,6,18,14
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","24-08-2026 11:00:00",28.806223,76.141105,NH3,9,12,10
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","24-08-2026 11:00:00",28.593883,76.270653,PM10,52,131,81
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","24-08-2026 11:00:00",28.593883,76.270653,CO,7,16,12
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","24-08-2026 11:00:00",28.593883,76.270653,OZONE,10,38,22
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","24-08-2026 11:00:00",28.2068,76.7997,NO2,8,45,33
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","24-08-2026 11:00:00",28.39072,77.30059,PM10,41,94,73
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","24-08-2026 11:00:00",28.39072,77.30059,SO2,4,10,7
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","24-08-2026 11:00:00",28.39072,77.30059,OZONE,14,14,14
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","24-08-2026 11:00:00",28.376058,77.315741,SO2,3,13,7
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","24-08-2026 11:00:00",28.4417,77.3217,PM10,66,107,84
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","24-08-2026 11:00:00",28.4417,77.3217,SO2,2,3,2
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","24-08-2026 11:00:00",28.4417,77.3217,CO,24,26,25
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB","24-08-2026 11:00:00",28.4275,77.1465,PM2.5,6,301,95
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","24-08-2026 11:00:00",28.4227,77.0667,PM2.5,51,200,113
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","24-08-2026 11:00:00",28.4227,77.0667,OZONE,12,44,22
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB","24-08-2026 11:00:00",28.4501238,77.0263051,NH3,NA,NA,NA
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB","24-08-2026 11:00:00",28.4501238,77.0263051,SO2,NA,NA,NA
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","24-08-2026 11:00:00",23.163798,72.677768,NO2,20,27,22
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","24-08-2026 11:00:00",23.163798,72.677768,SO2,0,16,5
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro","24-08-2026 11:00:00",23.59315,72.372792,PM10,54,135,90
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association","24-08-2026 11:00:00",22.410802,73.097923,CO,12,37,22
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ","24-08-2026 11:00:00",22.248853,70.776774,PM2.5,23,63,36
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ","24-08-2026 11:00:00",22.248853,70.776774,PM10,31,65,51
India,Gujarat,Surat,"Science Center, Surat - SMC","24-08-2026 11:00:00",21.170046,72.795405,PM10,25,69,43
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro","24-08-2026 11:00:00",21.217779,72.834787,PM10,42,89,58
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro","24-08-2026 11:00:00",22.320153,73.216285,PM2.5,23,81,47
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro","24-08-2026 11:00:00",22.320153,73.216285,PM10,43,103,67
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro","24-08-2026 11:00:00",22.320153,73.216285,NO2,11,12,11
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro","24-08-2026 11:00:00",22.320153,73.216285,NH3,2,2,2
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro","24-08-2026 11:00:00",21.755417,72.139056,SO2,7,8,7
